gvkey,fyear,conm,act,at,dlc,ebit,ni,re,wcap,survive,niat,cr,wcat,ebitaat,reat,niat_s,cr_s,wcat_s,reat_s,ebitaat_s
9648,1969,SHEFFIELD WATCH CORP,21.588,22.511,9.751,1.483,0.699,3.458,9.394,0,0.0310515,2.213927,0.4173071,0.0658789,0.1536138,0.0717585,-0.088777,0.0390133,0.0511571,0.0800305
9910,1969,SOVEREIGN INDUSTRIES INC,7.21,25.052,4.628,-0.504,0.11,-0.34,-0.772,0,0.0043909,1.557908,-0.0308159,-0.0201182,-0.0135718,0.0705217,-0.0889937,0.0359471,0.050964,0.0738796
1916,1970,AVIEN INC,1.147,2.958,1.066,-0.897,-1.04,-3.372,-1.119,0,-0.3515889,1.075985,-0.3782961,-0.3032455,-1.139959,0.0540081,-0.089153,0.0335694,0.0496627,0.053629
5023,1970,GENERAL ALLOYS CO,2.026,3.316,0.744,-0.273,-0.11,0.017,0.14,0,-0.0331725,2.723118,0.0422195,-0.0823281,0.0051267,0.0687792,-0.0886088,0.0364468,0.0509856,0.0694301
10290,1970,TMA CO,3.176,3.526,0.489,-1.585,-1.673,-1.141,1.95,0,-0.4744753,6.494888,0.5530346,-0.4495179,-0.3235961,0.0483074,-0.0873626,0.0399421,0.0506058,0.0431669
11004,1970,UNIVERSAL AIRLINES CO,6.386,31.32,3.804,1.258,-0.297,0.32,-3.11,0,-0.0094828,1.678759,-0.0992976,0.040166,0.0102171,0.0698781,-0.0889538,0.0354785,0.0509915,0.0781914
11276,1970,WALTHAM INDUSTRIES CORP,27.033,44.995,20.956,-3.481,-13.863,-8.968,-3.812,0,-0.3081009,1.289989,-0.0847205,-0.0773642,-0.199311,0.0560254,-0.0890823,0.0355782,0.0507494,0.0697851
1237,1971,ALBEE HOMES INC,6.296,8.944,1.013,-1.367,-1.151,-3.05,4.337,0,-0.1286896,6.215202,0.484906,-0.1528399,-0.3410107,0.0643482,-0.087455,0.0394759,0.0505857,0.0643867
1748,1971,ARLANS DEPT STORES INC,59.211,80.168,5.476,-2.799,-19.238,-3.176,26.91,0,-0.2399711,10.81282,0.3356701,-0.0349142,-0.0396168,0.0591859,-0.0859359,0.0384547,0.0509339,0.0728213
2331,1971,BOTANY INDS INC,20.555,41.814,2.333,-8.166,-23.531,-16.12,6.973,0,-0.5627541,8.810545,0.1667623,-0.1952935,-0.3855169,0.0442123,-0.0865975,0.037299,0.0505343,0.0613503
3687,1971,DCA DEVELOPMENT CORP,34.463,44.182,13.127,-3.704,-3.884,-3.548,10.241,0,-0.0879091,2.625352,0.2317912,-0.0838351,-0.0803042,0.06624,-0.0886411,0.037744,0.0508869,0.0693223
3692,1971,DEI INDUSTRIES INC,3.393,4.456,5.369,-3.738,-4.837,-8.592,-4.884,0,-1.085503,0.6319612,-1.09605,-0.838869,-1.928187,0.0199623,-0.0892997,0.0286582,0.048752,0.0153187
4609,1971,FEDERALS INC,86.573,96.802,40.687,-0.894,-1.993,15.436,22.534,0,-0.0205884,2.12778,0.2327845,-0.0092353,0.1594595,0.0693629,-0.0888055,0.0377508,0.0511639,0.074658
5154,1971,GIANT STORES CORP,19.719,31.264,0.081,2.808,1.212,5.084,8.523,0,0.0387666,243.4444,0.2726139,0.0898158,0.1626152,0.0721164,-0.0090744,0.0380233,0.0511675,0.0817426
7236,1971,MEISTER BRAU INC,8.344,28.534,1.301,-1.287,-1.059,-1.972,-0.902,0,-0.0371136,6.413528,-0.0316114,-0.0451041,-0.0691105,0.0685964,-0.0873894,0.0359416,0.0508998,0.0720925
8121,1971,OLD TOWN CORP,5.859,7.307,1.293,0.048,0.19,-0.272,2.222,0,0.0260025,4.531323,0.3040919,0.006569,-0.0372246,0.0715243,-0.0880113,0.0382387,0.0509367,0.0757884
8241,1971,PKL COS INC-CL A,0.976,3.079,0.515,-0.254,-0.467,0.402,-0.679,0,-0.1516726,1.895146,-0.2205262,-0.0824943,0.1305619,0.063282,-0.0888823,0.034649,0.0511305,0.0694182
8885,1971,RAI INC,12.028,14.221,6.077,0.789,-0.158,-0.496,1.653,0,-0.0111103,1.979266,0.1162366,0.0554813,-0.034878,0.0698026,-0.0888545,0.0369533,0.0509394,0.0792868
9088,1971,RESPONSIVE ENVIRONMENT CORP,5.585,10.126,0.726,-1.743,-1.455,-9.663,3.463,0,-0.1436895,7.692837,0.3419909,-0.1721312,-0.9542761,0.0636524,-0.0869668,0.038498,0.0498772,0.0630069
10944,1971,U S FINANCIAL INC,205.949,310.717,112.758,19.977,6.002,20.796,65.572,0,0.0193166,1.826469,0.2110345,0.0642932,0.0669291,0.0712141,-0.088905,0.0376019,0.051057,0.0799171
11368,1971,WENTWORTH MFG CO,2.635,3.791,0.131,-0.283,-0.34,1.348,1.146,0,-0.0896861,20.1145,0.3022949,-0.0746505,0.355579,0.0661576,-0.0828626,0.0382264,0.0513905,0.0699792
11625,1971,XACRON CORP,4.567,14.073,1.418,-0.659,-1.049,-5.18,0.578,0,-0.0745399,3.220733,0.0410716,-0.0468273,-0.3680807,0.0668602,-0.0884443,0.036439,0.0505544,0.0719692
3361,1972,COMTROL SYSTEMS INC,0.577,1.957,0.287,0.203,0.118,-1.704,0.075,0,0.0602964,2.010453,0.038324,0.1037302,-0.8707205,0.0731151,-0.0888442,0.0364202,0.0499737,0.0827378
4284,1972,ELECTRONIC COMPTR PROGM INST,2.386,3.228,0.049,-0.351,-0.234,1.117,0.79,0,-0.0724907,48.69388,0.2447336,-0.1087361,0.3460347,0.0669552,-0.07342,0.0378325,0.0513794,0.0675412
4300,1972,ELECTROSPACE CORP,33.898,44.336,12.246,3.361,1.818,7.632,14.522,0,0.0410051,2.768087,0.3275442,0.0758075,0.17214,0.0722202,-0.0885939,0.0383991,0.0511785,0.0807407
4419,1972,EON CORP,0.777,1.652,1.067,-0.68,-0.998,-4.08,-1.897,0,-0.6041163,0.7282099,-1.148305,-0.4116223,-2.469734,0.0422935,-0.0892679,0.0283007,0.0481263,0.0458774
4627,1972,FIBERSTATICS CORP,0.628,1.857,0.341,-0.286,0.013,-1.75,-0.273,0,0.0070005,1.841642,-0.1470113,-0.1540119,-0.9423802,0.0706428,-0.0889,0.035152,0.0498909,0.0643029
5511,1972,HARVEST MARKETS INC,4.049,7.928,2.088,-1.933,-2.283,0.631,-0.562,0,-0.2879667,1.939176,-0.070888,-0.2438194,0.0795913,0.0569595,-0.0888678,0.0356729,0.0510716,0.0578795
6147,1972,INTERSTATE STORES INC,148.888,248.515,1.148,1.55,-40.315,2.886,55.196,0,-0.1622236,129.6934,0.2221033,0.006237,0.011613,0.0627926,-0.0466578,0.0376777,0.0509931,0.0757647
6623,1972,LEADER INTL INDUSTRIES INC,9.02,15.612,4.134,-0.193,-0.977,-2.375,-1.61,0,-0.0625801,2.181906,-0.1031258,-0.0123623,-0.1521266,0.067415,-0.0887876,0.0354523,0.0508039,0.0744343
6703,1972,RDIS CORP,14.342,52.697,15.945,0.231,-1.364,-0.43,-4.072,0,-0.0258838,0.8994669,-0.077272,0.0043836,-0.0081599,0.0691173,-0.0892113,0.0356292,0.0509702,0.0756321
7857,1972,NEW YORK AIRWAYS INC,1.023,1.412,0.948,0.201,0.093,-6.959,-2.089,0,0.065864,1.079114,-1.479462,0.1423513,-4.928471,0.0733734,-0.0891519,0.0260347,0.0452857,0.0855002
8362,1972,PARKVIEW-G E M INC,46.754,70.155,6.693,-0.991,-4.765,15.644,13.158,0,-0.067921,6.985507,0.1875561,-0.0141259,0.222992,0.0671672,-0.0872005,0.0374413,0.0512373,0.0743082
8392,1972,PAVELLE CORP,2.072,6.924,0.627,-2.192,-1.286,-4.784,1.117,0,-0.1857308,3.304625,0.1613229,-0.31658,-0.6909301,0.0617021,-0.0884166,0.0372618,0.0501814,0.0526753
9517,1972,SCOTTEX CORP,19.284,30.702,6.069,-2.78,-2.376,0.123,7.163,0,-0.0773891,3.177459,0.2333073,-0.0905478,0.0040063,0.066728,-0.0884586,0.0377543,0.0509843,0.0688422
9608,1972,SEQUOYAH INDUSTRIES INC,10.818,27.622,5.836,-3.217,-6.454,-18.641,-4.647,0,-0.2336543,1.853667,-0.1682355,-0.1164651,-0.6748607,0.059479,-0.088896,0.0350068,0.0502,0.0669884
10106,1972,STRATTON GROUP LTD,15.662,24.824,5.023,1.395,0.84,-0.182,5.256,0,0.0338382,3.118057,0.2117306,0.0561956,-0.0073316,0.0718878,-0.0884783,0.0376067,0.0509712,0.0793379
1813,1973,ASSOCIATED TRANSPORT INC,25.424,65.525,32.809,-4.553,-6.927,3.986,-24.554,0,-0.1057154,0.7749094,-0.3747272,-0.0694849,0.0608317,0.065414,-0.0892524,0.0335939,0.0510499,0.0703487
2120,1973,BEHAVORIAL RESEARCH LABS INC,8.603,15.449,4.387,-0.386,-1.524,-1.384,0.612,0,-0.0986472,1.961021,0.0396142,-0.0249854,-0.0895851,0.0657419,-0.0888606,0.036429,0.0508762,0.0735315
2288,1973,BOHACK CORP,41.257,93.164,5.818,1.83,0.058,11.864,2.18,0,0.0006226,7.091269,0.0233996,0.0196428,0.1273453,0.0703469,-0.0871655,0.036318,0.0511268,0.0767235
7535,1973,MONROE GROUP INC,17.58,25.486,0.326,1.577,0.026,2.945,9.046,0,0.0010202,53.92638,0.3549399,0.0618771,0.1155536,0.0703654,-0.0716912,0.0385866,0.0511132,0.0797443
7702,1973,NATIONAL BELLAS HESS INC,36.657,42.826,18.1,-6.818,-0.634,-7.389,13.581,0,-0.0148041,2.025249,0.3171204,-0.1592024,-0.1725354,0.0696313,-0.0888393,0.0383278,0.0507803,0.0639317
4534,1974,FABULOUS INNS OF AMERICA,2.978,5.152,3.248,0.08,-0.321,-1.498,-1.002,0,-0.0623059,0.9168719,-0.1944876,0.0155279,-0.2907609,0.0674277,-0.0892055,0.0348272,0.0506437,0.0764292
4937,1974,GAC CORP,148.762,436.345,77.682,23.452,7.387,-192.946,6.387,0,0.0169293,1.915012,0.0146375,0.0537465,-0.4421868,0.0711034,-0.0888758,0.0362581,0.0504688,0.0791628
5270,1974,GRANT (W.T.) CO,924.781,1082.267,600.995,-286.566,-177.34,37.674,174.875,0,-0.1638598,1.53875,0.1615821,-0.2647831,0.0348103,0.0627167,-0.0890001,0.0372636,0.0510199,0.05638
6232,1974,JARMEL FABRICS INC,4.036,5.873,0.25,-0.241,-0.637,0.361,2.192,0,-0.1084625,16.144,0.3732334,-0.0410352,0.0614677,0.0652865,-0.0841745,0.0387118,0.0510507,0.0723835
9260,1974,ROWLAND INC,4.616,8.138,0.429,1.963,0.961,2.72,2.651,0,0.118088,10.75991,0.3257557,0.2412141,0.3342345,0.0757961,-0.0859534,0.0383869,0.0513658,0.0925713
4642,1975,FILIGREE FOODS INC,6.806,11.537,4.021,-5.522,-13.984,-12.314,-13.571,0,-1.2121,1.692614,-1.176302,-0.478634,-1.067349,0.0140895,-0.0889492,0.0281091,0.0497465,0.0410844
5358,1975,GRUEN INDUSTRIES INC,14.7,15.162,4.264,0.68,-0.154,-1.142,6.949,0,-0.010157,3.447467,0.4583168,0.044849,-0.0753199,0.0698469,-0.0883694,0.039294,0.0508927,0.0785264
7120,1975,MAULE INDUSTRIES INC,24.908,188.911,90.434,-4.276,-8.691,14.491,-78.399,0,-0.0460058,0.2754274,-0.415005,-0.022635,0.0767081,0.0681839,-0.0894175,0.0333183,0.0510683,0.0736996
7421,1975,MINER INDUSTRIES INC,13.347,20.079,3.537,-2.197,-1.748,0.187,6.808,0,-0.0870561,3.773537,0.3390607,-0.1094178,0.0093132,0.0662796,-0.0882617,0.0384779,0.0509904,0.0674925
8191,1975,ORMONT DRUG & CHEMICAL CO,3.042,5.264,1.417,-0.822,-1.504,-5.801,0.098,0,-0.2857143,2.146789,0.018617,-0.156155,-1.102014,0.0570639,-0.0887992,0.0362853,0.0497065,0.0641496
10100,1975,STORY CHEMICAL CORP,3.902,11.551,3.002,-0.79,-2.972,-3.247,-1.87,0,-0.2572937,1.2998,-0.1618907,-0.0683924,-0.2811012,0.0583824,-0.089079,0.0350502,0.0506549,0.0704268
1727,1976,ARCS EQUITIES CORP,0.479,18.963,3.655,-0.094,2.658,6.657,-3.44,0,0.1401677,0.1310534,-0.1814059,-0.004957,0.3510521,0.0768203,-0.0894652,0.0349167,0.0513852,0.074964
2874,1976,CENTURI INC,2.17,3.117,2.741,-2.644,-3.037,-3.034,-2.228,0,-0.9743342,0.7916819,-0.7147898,-0.8482515,-0.9733718,0.0251193,-0.0892469,0.031267,0.0498551,0.0146476
4908,1976,FRIGITEMP CORP,70.14,93.45,10.672,8.681,4.022,10.232,21.708,0,0.0430391,6.572339,0.2322953,0.0928946,0.1094917,0.0723146,-0.087337,0.0377474,0.0511062,0.0819628
5175,1976,GLADDING CORP,38.933,53.341,9.38,6.759,-1.183,-3.159,15.752,0,-0.0221781,4.15064,0.2953075,0.126713,-0.0592227,0.0692892,-0.0881371,0.0381786,0.0509112,0.0843817
6645,1976,LEECO INC,36.299,55.016,4.621,4.318,1.571,-10.331,22.249,0,0.0285553,7.855227,0.4044096,0.0784863,-0.1877818,0.0716427,-0.0869131,0.0389251,0.0507627,0.0809323
10445,1976,TENNESSEE FORGING STEEL CORP,15.786,44.143,22.923,-9.721,-6.161,0.081,-20.054,0,-0.1395691,0.6886533,-0.4542963,-0.2202161,0.0018349,0.0638435,-0.0892809,0.0330494,0.0509818,0.0595677
11008,1976,UNIVERSAL CONTAINER CORP,16.521,25.087,3.909,2.071,1.022,-1.046,6.95,0,0.0407382,4.226401,0.2770359,0.0825527,-0.0416949,0.0722079,-0.0881121,0.0380535,0.0509315,0.0812231
1288,1977,ALLIED ARTISTS INDUSTRIES,19.656,29.209,8.428,1.993,0.777,-8.477,-0.814,0,0.0266014,2.332226,-0.0278681,0.0682324,-0.2902188,0.0715521,-0.0887379,0.0359672,0.0506444,0.0801989
2178,1977,BERNARD SCREEN PRINTING CORP,2.156,3.917,0.706,-1.205,-0.339,-1.214,0.792,0,-0.0865458,3.053824,0.2021956,-0.3076334,-0.3099311,0.0663032,-0.0884995,0.0375415,0.0506216,0.0533152
4874,1977,FOXCO INDUSTRIES LTD,1.63,2.742,0.129,-0.137,-0.447,-0.694,0.621,0,-0.1630197,12.63566,0.226477,-0.0499635,-0.2530999,0.0627557,-0.0853337,0.0377076,0.0506873,0.0717449
4957,1977,GRT CORP,18.702,23.784,1.275,0.018,0.032,1.632,3.141,0,0.0013454,14.66824,0.1320636,0.0007568,0.0686176,0.0703804,-0.0846621,0.0370616,0.0510589,0.0753727
5795,1977,HY-GAIN ELECTRONICS CORP,32.872,40.963,24.919,-25.714,-24.552,-7.54,-1.224,0,-0.5993701,1.319154,-0.0298806,-0.6277372,-0.1840685,0.0425137,-0.0890726,0.0359535,0.050767,0.0304199
7035,1977,MARINE PROTEIN CORP,0.036,2.604,4.31,-0.658,-1.317,-10.388,-5.956,0,-0.5057604,0.0083527,-2.28725,-0.2526882,-3.989247,0.0468562,-0.0895057,0.0205075,0.0463708,0.0572451
7299,1977,METROPOLITAN GREETINGS INC,12.026,14.222,8.29,-0.231,-0.872,0.135,0.867,0,-0.0613135,1.450663,0.0609619,-0.0162424,0.0094923,0.0674737,-0.0890292,0.0365751,0.0509906,0.0741568
7622,1977,MURPHY PAC MARINE SALVG-CL B,2.947,5.083,0.789,-1.428,-1.246,-5.462,0.499,0,-0.2451308,3.735108,0.0981704,-0.2809364,-1.074562,0.0589466,-0.0882744,0.0368297,0.0497382,0.0552247
7807,1977,NELLY DON INC,2.264,3.501,1.082,-0.012,-1.875,-3.436,-0.125,0,-0.5355613,2.092421,-0.0357041,-0.0034276,-0.9814339,0.0454737,-0.0888171,0.0359136,0.0498458,0.0750734
8143,1977,ON-GUARD CORP OF AMERICA,2.544,2.761,1.315,-0.241,-0.37,0.098,0.537,0,-0.1340094,1.934601,0.1944948,-0.0872872,0.0354944,0.0641014,-0.0888693,0.0374888,0.0510207,0.0690754
8262,1977,PACIFIC FAR EAST LINE INC,36.234,171.994,7.602,-27.342,-45.297,-17.809,-18.585,0,-0.2633638,4.766377,-0.1080561,-0.1589707,-0.1035443,0.0581008,-0.0879337,0.0354186,0.05086,0.0639482
9660,1977,SHENANDOAH OIL CORP,16.605,205.106,11.549,-22.224,-26.036,-7.819,-11.655,0,-0.1269392,1.437787,-0.0568243,-0.1083537,-0.0381217,0.0644294,-0.0890334,0.0357691,0.0509356,0.0675686
9683,1977,SHULMAN TRANSPORT ENTERPRISE,16.547,24.237,0.287,-3.771,-4.669,-3.069,1.61,0,-0.1926394,57.65506,0.0664274,-0.1555886,-0.1266246,0.0613816,-0.0704592,0.0366125,0.0508334,0.0641901
9751,1977,SITKIN SMELTING & REFINING,21.696,26.657,11.235,1.153,-0.253,2.098,2.853,0,-0.0094909,1.931108,0.1070263,0.0432532,0.0787035,0.0698778,-0.0888704,0.0368903,0.0510706,0.0784122
10280,1977,TGC INC-OLD,61.882,80.783,33.197,0.613,-9.974,-5.928,6.188,0,-0.1234666,1.864084,0.0766003,0.0075882,-0.0733818,0.0645905,-0.0888926,0.0366821,0.0508949,0.0758613
10421,1977,TELTRONICS SERVICES,6.307,12.431,2.098,0.342,0.482,1.393,2.432,0,0.038774,3.006196,0.1956399,0.0275119,0.1120586,0.0721167,-0.0885152,0.0374966,0.0511091,0.0772863
10773,1977,1225 MAPLE CORP,8.467,11.904,0.23,0.116,-0.154,2.325,6.537,0,-0.0129368,36.81304,0.5491431,0.0097446,0.1953125,0.0697179,-0.0773454,0.0399154,0.0512053,0.0760155
1192,1978,AGUIRRE CO,17.049,24.184,0.333,-0.177,0.607,17.568,15.217,0,0.0250992,51.1982,0.6292177,-0.0073189,0.7264307,0.0714824,-0.0725926,0.0404633,0.0518189,0.0747951
2582,1978,C V INTERNATIONAL CORP,0.891,4.44,0.416,-1.048,-3.927,-0.143,0.142,0,-0.8844594,2.141827,0.031982,-0.236036,-0.0322072,0.0292886,-0.0888008,0.0363768,0.0509425,0.0584362
4522,1978,FABIEN CORP,0.815,1.982,0.05,-1.032,-0.784,-0.539,0.334,0,-0.39556,16.3,0.1685167,-0.5206861,-0.2719475,0.0519683,-0.084123,0.037311,0.0506655,0.0380766
5196,1978,GLOVER INC,13.663,23.078,7.247,-2.447,-2.885,0.187,4.352,0,-0.1250108,1.885332,0.1885779,-0.1060317,0.008103,0.0645189,-0.0888856,0.0374483,0.050989,0.0677347
5668,1978,HOLLY RESOURCES CORP,0.299,9.059,0.821,0.166,-0.422,0.821,-0.746,0,-0.0465835,0.36419,-0.082349,0.0183243,0.0906281,0.0681571,-0.0893881,0.0355945,0.0510844,0.0766292
6813,1978,LORTOGS INC,1.295,1.407,0.754,-0.064,-0.172,-3.997,-0.128,0,-0.1222459,1.717507,-0.0909737,-0.0454869,-2.840796,0.0646471,-0.088941,0.0355354,0.0476976,0.0720651
6939,1978,MAGIC MARKER CORP,7.986,15.615,1.145,0.336,-0.683,-10.73,3.797,0,-0.04374,6.974673,0.2431636,0.0215178,-0.6871598,0.068289,-0.087204,0.0378218,0.0501858,0.0768576
9070,1978,RESEARCH FUELS INC,5.433,10.76,1.479,-4.192,-2.014,-1.292,-2.346,0,-0.1871747,3.673428,-0.2180297,-0.3895911,-0.1200744,0.0616351,-0.0882948,0.0346661,0.0508409,0.0474532
9181,1978,ROBESON INDUSTRIES CORP,10.259,13.1,4.569,-0.452,-0.822,3.078,3.004,0,-0.0627481,2.245349,0.229313,-0.0345038,0.2349618,0.0674072,-0.0887666,0.037727,0.0512511,0.0728507
1146,1979,ADVENT CORP,12.499,13.449,3.098,-1.49,-2.229,-4.629,3.431,0,-0.1657372,4.034538,0.2551119,-0.1107889,-0.3441892,0.0626296,-0.0881755,0.0379035,0.050582,0.0673944
1303,1979,ALLIED TECHNOLOGY INC,13.244,17.568,1.186,-0.397,-0.858,0.572,7.196,0,-0.0488388,11.16695,0.4096084,-0.0225979,0.0325592,0.0680524,-0.0858189,0.0389607,0.0510173,0.0737022
1876,1979,AUTO-TRAIN CORP,3.108,28.137,2.543,-0.905,-2.828,-10.092,-15.08,0,-0.1005082,1.222179,-0.5359491,-0.0321641,-0.3586736,0.0656555,-0.0891047,0.0324907,0.0505653,0.073018
2420,1979,BRODY (B.) SEATING CO,3.678,3.987,0.438,-1.423,-1.095,0.575,1.74,0,-0.2746426,8.397261,0.4364184,-0.35691,0.1442187,0.0575776,-0.086734,0.0391441,0.0511463,0.0497907
3428,1979,CONSOLIDATED RESOURCES INC,0.053,0.055,0.655,0.007,-0.048,-2.175,-1.341,0,-0.8727273,0.080916,-24.38182,0.1272727,-39.54545,0.0298328,-0.0894817,-0.1306742,0.0052921,0.0844217
4519,1979,FWD CORP,19.679,21.471,11.17,0.986,0.833,0.135,2.71,0,0.0387965,1.761773,0.1262168,0.0459224,0.0062876,0.0721178,-0.0889264,0.0370216,0.0509869,0.0786031
4997,1979,GARLAND CORP  -CL A,16.919,25.423,4.141,-1.027,-1.446,8.857,9.488,0,-0.0568776,4.085729,0.3732054,-0.0403965,0.3483853,0.0676795,-0.0881586,0.0387116,0.0513822,0.0724292
6106,1979,INTL PLASTICS INC,1.749,9.775,5.922,0.211,-0.085,0.273,-6.999,0,-0.0086957,0.2953394,-0.7160103,0.0215857,0.0279284,0.0699146,-0.0894109,0.0312586,0.0510119,0.0768625
6850,1979,LYNNWEAR CORP  -CL A,17.104,18.775,4.114,0.696,-3.837,0.321,6.185,0,-0.2043675,4.157511,0.3294274,0.0370706,0.0170972,0.0608376,-0.0881348,0.038412,0.0509994,0.07797
7187,1979,MED-PAK CORP,1.312,3.691,0.109,-1.111,-0.93,-0.526,0.053,0,-0.2519642,12.0367,0.0143593,-0.3010024,-0.1425088,0.0586296,-0.0855316,0.0362562,0.050815,0.0537895
7613,1979,MULTRONICS INC,0.963,1.433,0.837,-0.972,-1.432,-3.143,-0.435,0,-0.9993022,1.150538,-0.303559,-0.6782973,-2.193301,0.0239611,-0.0891283,0.0340808,0.0484457,0.0268036
8945,1979,RANDAL DATA SYSTEMS INC,2.31,3.116,1.27,-1.408,-1.457,-1.479,-1.009,0,-0.4675867,1.818898,-0.3238126,-0.4518614,-0.474647,0.048627,-0.0889075,0.0339423,0.0504313,0.0429993
8969,1979,RAYNE INDUSTRIES INC,4.951,16.823,1.804,0.906,-0.123,1.118,1.173,0,-0.0073114,2.744457,0.069726,0.0538548,0.0664566,0.0699789,-0.0886017,0.036635,0.0510564,0.0791705
9042,1979,REMEDCO INC,6.387,11.306,5.795,-6.793,-7.189,-6.869,-4.063,0,-0.6358571,1.102157,-0.3593667,-0.6008314,-0.6075535,0.0408211,-0.0891443,0.033699,0.0502778,0.0323443
9287,1979,RUSCO INDUSTRIES INC-OLD,25.433,39.04,8.947,0.592,-3.736,0.85,5.475,0,-0.0956967,2.842629,0.1402408,0.0151639,0.0217725,0.0658787,-0.0885693,0.0371175,0.0510048,0.0764031
9409,1979,SANTEC CORP,2.636,3.339,0.009,-2.187,-2.254,-3.928,0.66,0,-0.6750524,292.8889,0.197664,-0.6549866,-1.1764,0.0390028,0.007262,0.0375104,0.0496206,0.0284709
10704,1979,TRAVEL EQUIPMENT CORP,5.763,6.523,2.871,-2.168,-2.677,-2.852,0.856,0,-0.410394,2.007314,0.131228,-0.3323624,-0.4372222,0.0512801,-0.0888453,0.0370559,0.0504745,0.0515464
11525,1979,WIMPY'S USA INC,0.213,1.364,0.061,-0.465,-0.453,-0.655,-0.25,0,-0.3321114,3.491803,-0.1832845,-0.3409091,-0.4802053,0.0549116,-0.0883548,0.0349038,0.0504249,0.0509351
1053,1980,AFI CORP,0.892,1.285,0.218,-0.203,-0.307,-1.908,0.33,0,-0.2389105,4.091743,0.2568094,-0.1579767,-1.484825,0.0592351,-0.0881566,0.0379151,0.0492642,0.0640193
1268,1980,ALL AMERICAN BURGER INC,0.521,0.943,0.257,-0.943,-0.864,-2.442,0.059,0,-0.9162248,2.027237,0.0625663,-1,-2.589607,0.027815,-0.0888387,0.036586,0.0479879,0.0037939
2570,1980,DECORP INC,7.489,11.648,0.441,-1.449,-1.233,3.19,3.501,0,-0.1058551,16.98186,0.3005666,-0.124399,0.2738668,0.0654075,-0.0838977,0.0382146,0.0512961,0.0664209
3150,1980,CODI CORP,1.321,2.048,0.281,-0.839,-0.687,-2.983,0.143,0,-0.3354492,4.701068,0.0698242,-0.4096679,-1.456543,0.0547568,-0.0879552,0.0366357,0.0492969,0.0460172
3498,1980,COOPER-JARRETT INC,7.628,23.472,2.818,-1.807,-5.671,-6.361,-2.116,0,-0.241607,2.706884,-0.09015,-0.0769853,-0.2710038,0.05911,-0.0886141,0.0355411,0.0506666,0.0698122
3752,1980,DATA ACCESS SYSTEMS INC,24.344,48.011,0.674,7.367,5.148,10.751,14.289,0,0.1072254,36.11869,0.2976193,0.153444,0.2239279,0.0752921,-0.0775749,0.0381944,0.0512384,0.0862936
4670,1980,FIRECO SALES LTD,9.522,12.126,4.26,-0.588,-0.811,2.037,0.705,0,-0.0668811,2.235211,0.0581395,-0.0484908,0.1679861,0.0672155,-0.08877,0.0365558,0.0511737,0.0718503
5170,1980,GILMAN SERVICES INC,28.265,32.57,14.474,2.017,-1.357,-0.524,2.878,0,-0.0416641,1.952812,0.0883635,0.0619282,-0.0160884,0.0683853,-0.0888633,0.0367626,0.0509611,0.0797479
